,,,,
Topic,Subtopic,Question,Answer,Problem difficulty
Numpy,Applied patterns and advanced,"Considering a one-dimensional vector D, how to compute means of subsets of D using a vector S of same size describing subset  indices? (★★★)","# Author: Jaime Fernández del Río

D = np.random.uniform(0,1,100)
S = np.random.randint(0,10,100)
D_sums = np.bincount(S, weights=D)
D_counts = np.bincount(S)
D_means = D_sums / D_counts
print(D_means)

# Pandas solution as a reference due to more intuitive code
import pandas as pd
print(pd.Series(D).groupby(S).mean())",80
Numpy,Indexing and selection,Shuffle the rows of a 2D array in-place given a random permutation (★★★),"Z = np.arange(20).reshape(5,4)
p = np.random.permutation(Z.shape[0])
Z[:] = Z[p]
print(Z)",82
Numpy,Indexing and selection,Sample m distinct rows from a 2D array without replacement (★★★),"Z = np.arange(40).reshape(10,4)
m = 3
idx = np.random.choice(Z.shape[0], size=m, replace=False)
print(Z[idx])",82
Numpy,Indexing and selection,Extract the k-th diagonal (k can be negative) of a 2D array (★★★),"A = np.arange(1, 26).reshape(5,5)
k = -2
diag_k = np.diag(A, k=k)
print(diag_k)",82
Numpy,Vectorization and broadcasting,How to get the diagonal of a dot product? (★★★),"# Author: Mathieu Blondel

A = np.random.uniform(0,1,(5,5))
B = np.random.uniform(0,1,(5,5))

# Slow version
print(np.diag(np.dot(A, B)))

# Fast version
print(np.sum(A * B.T, axis=1))

# Faster version
print(np.einsum(""ij,ji->i"", A, B))",82
Numpy,Indexing and selection,Find rows containing any non-finite values (NaN or Inf) (★★★),"Z = np.random.randn(6, 4)
Z[1,2] = np.nan; Z[4,0] = np.inf
mask = ~np.isfinite(Z).all(axis=1)
print(np.where(mask)[0])",82
Numpy,Indexing and selection,Remove consecutive duplicates from a 1D array (keep first of each run) (★★★),"a = np.array([1,1,2,2,2,3,1,1,4])
mask = np.r_[True, a[1:] != a[:-1]]
out = a[mask]
print(out)",82
Numpy,Vectorization and broadcasting,Compute row-wise dot products between a 2D array and a vector without loops (★★★),"Z = np.random.rand(6, 5)
v = np.random.rand(5)
dots = Z @ v
print(dots)",82
Numpy,Indexing and selection,Find indices of strict local maxima in a 1D array (exclude endpoints) (★★★),"a = np.random.randn(20)
peaks = np.where((a[1:-1] > a[:-2]) & (a[1:-1] > a[2:]))[0] + 1
print(peaks)",82
Numpy,Vectorization and broadcasting,"Interleave two 1D arrays A and B elementwise: [a0,b0,a1,b1,...] (★★★)","A = np.arange(5)
B = 10 + np.arange(5)
C = np.empty(A.size + B.size, dtype=A.dtype)
C[0::2] = A
C[1::2] = B
print(C)",82
Numpy,Applied patterns and advanced,Winsorize a 1D array by clipping to its 5th and 95th percentiles (★★★),"Z = np.random.randn(1000)
lo, hi = np.percentile(Z, [5, 95])
Z_wins = np.clip(Z, lo, hi)
print(Z_wins.min(), Z_wins.max())",82
Numpy,Indexing and selection,"Get first occurrence indices of each unique value in a 1D array, preserving input order (★★★)","a = np.random.randint(0, 10, 20)
_, idx = np.unique(a, return_index=True)
idx_sorted = np.sort(idx)
print(idx_sorted)",82
Numpy,Vectorization and broadcasting,Compute the k-th order discrete difference of a 1D array (★★★),"a = np.arange(10)
k = 3
d = np.diff(a, n=k)
print(d)",82
Numpy,Vectorization and broadcasting,One-hot encode a label vector y with C classes using array operations (★★★),"y = np.array([0,2,1,2,0])
C = y.max() + 1
I = np.eye(C, dtype=int)
one_hot = I[y]
print(one_hot)",82
Numpy,Vectorization and broadcasting,"Consider an array of dimension (5,5,3), how to multiply it by an array with dimensions (5,5)? (★★★)","A = np.ones((5,5,3))
B = 2*np.ones((5,5))
print(A * B[:,:,None])",82
Numpy,Vectorization and broadcasting,Compute a cumulative maximum along axis=1 for a 2D array (★★★),"Z = np.random.randint(0, 100, (4, 7))
cummax = np.maximum.accumulate(Z, axis=1)
print(cummax)",83
Numpy,Vectorization and broadcasting,Normalize each row of a 2D array to unit L2 norm (★★★),"Z = np.random.rand(5, 4)
norms = np.linalg.norm(Z, axis=1, keepdims=True)
Z_unit = np.divide(Z, norms, out=np.zeros_like(Z), where=norms!=0)
print(Z_unit)",84
Numpy,Vectorization and broadcasting,"Z-score each column and clip values to [-3, 3] (★★★)","Z = np.random.randn(100, 5)
mu = Z.mean(axis=0, keepdims=True)
sd = Z.std(axis=0, ddof=0, keepdims=True)
Zz = (Z - mu) / np.where(sd==0, 1, sd)
Zc = np.clip(Zz, -3, 3)
print(Zc.min(), Zc.max())",84
Numpy,Vectorization and broadcasting,Run-length decode given values and counts to reconstruct the original array (★★★),"values = np.array([1, 3, 2, 2])
counts = np.array([2, 1, 3, 2])
decoded = np.repeat(values, counts)
print(decoded)",84
Numpy,Applied patterns and advanced,Compute the summed-area table (integral image) of a 2D array (★★★),"Z = np.random.randint(0, 5, (6, 7))
I = np.cumsum(np.cumsum(Z, axis=0), axis=1)
print(I)",84
Numpy,Applied patterns and advanced,How to create a record array from a regular array? (★★★),"Z = np.array([(""Hello"", 2.5, 3),
              (""World"", 3.6, 2)])
R = np.core.records.fromarrays(Z.T,
                               names='col1, col2, col3',
                               formats = 'S8, f8, i8')
print(R)",84
Numpy,Applied patterns and advanced,Count the number of distinct values per row of an integer matrix (★★★),"Z = np.random.randint(0, 6, (5, 8))
counts = np.apply_along_axis(lambda r: np.unique(r).size, 1, Z)
print(counts)",84
Numpy,Vectorization and broadcasting,"Consider the vector [1, 2, 3, 4, 5], how to build a new vector with 3 consecutive zeros interleaved between each value? (★★★)","# Author: Warren Weckesser

Z = np.array([1,2,3,4,5])
nz = 3
Z0 = np.zeros(len(Z) + (len(Z)-1)*(nz))
Z0[::nz+1] = Z
print(Z0)",84
Numpy,Vectorization and broadcasting,Construct a lower-triangular matrix whose i-th row contains the first i+1 elements of v (★★★),"v = np.arange(1, 6)
n = v.size
L = np.tril(np.tile(v, (n,1)))
print(L)",84
Numpy,Vectorization and broadcasting,"How to negate a boolean, or to change the sign of a float inplace? (★★★)","# Author: Nathaniel J. Smith

Z = np.random.randint(0,2,100)
np.logical_not(Z, out=Z)

Z = np.random.uniform(-1.0,1.0,100)
np.negative(Z, out=Z)",84
Numpy,Vectorization and broadcasting,Normalize each row of a 2D array so rows sum to 1 (avoid division by zero) (★★★),"Z = np.random.rand(5, 3)
row_sums = Z.sum(axis=1, keepdims=True)
Z_norm = np.divide(Z, row_sums, out=np.zeros_like(Z), where=row_sums!=0)
print(Z_norm)",84
Numpy,Indexing and selection,Find rows of a 2D array that are strictly increasing (★★★),"Z = np.random.randint(0, 10, (8, 5))
mask = np.all(np.diff(Z, axis=1) > 0, axis=1)
print(Z[mask])",84
Numpy,Vectorization and broadcasting,"Create a symmetric Toeplitz matrix from a 1D vector c (T[i,j] = c[|i-j|]) (★★★)","c = np.arange(6)
i = np.arange(c.size)[:, None]
j = np.arange(c.size)[None, :]
T = c[np.abs(i - j)]
print(T)",85
Numpy,Applied patterns and advanced,Build an undirected adjacency matrix from an integer edge list (0-indexed) (★★★),"n = 6
edges = np.array([[0,1],[0,2],[3,5],[2,5]])
A = np.zeros((n,n), dtype=int)
A[edges[:,0], edges[:,1]] = 1
A[edges[:,1], edges[:,0]] = 1
print(A)",86
Numpy,Vectorization and broadcasting,How to compute averages using a sliding window over an array? (★★★),"# Author: Jaime Fernández del Río

def moving_average(a, n=3) :
    ret = np.cumsum(a, dtype=float)
    ret[n:] = ret[n:] - ret[:-n]
    return ret[n - 1:] / n
Z = np.arange(20)
print(moving_average(Z, n=3))

# Author: Jeff Luo (@Jeff1999)
# make sure your NumPy >= 1.20.0

from numpy.lib.stride_tricks import sliding_window_view

Z = np.arange(20)
print(sliding_window_view(Z, window_shape=3).mean(axis=-1))",86
Numpy,Applied patterns and advanced,Extract all the contiguous 3x3 blocks from a random 10x10 matrix (★★★),"# Author: Chris Barker

Z = np.random.randint(0,5,(10,10))
n = 3
i = 1 + (Z.shape[0]-3)
j = 1 + (Z.shape[1]-3)
C = stride_tricks.as_strided(Z, shape=(i, j, n, n), strides=Z.strides + Z.strides)
print(C)

# Author: Jeff Luo (@Jeff1999)

Z = np.random.randint(0,5,(10,10))
print(sliding_window_view(Z, window_shape=(3, 3)))",86
Numpy,Indexing and selection,Row-wise argmax with tie-breaking by last occurrence (★★★),"Z = np.random.randint(0, 9, (4, 8))
# use argmax on reversed view, then convert index
rev = Z[:, ::-1]
idx_rev = rev.argmax(axis=1)
idx = Z.shape[1] - 1 - idx_rev
print(idx)",86
Numpy,Applied patterns and advanced,Compute cosine similarity matrix between row vectors of X (★★★),"X = np.random.rand(6, 5)
Xn = X / np.linalg.norm(X, axis=1, keepdims=True)
S = Xn @ Xn.T
print(S)",86
Numpy,Applied patterns and advanced,Replace NaNs in each column with the column mean (★★★),"Z = np.random.randn(6, 4)
Z[np.random.rand(*Z.shape) < 0.2] = np.nan
col_means = np.nanmean(Z, axis=0, keepdims=True)
inds = np.where(np.isnan(Z))
Z[inds] = np.take(col_means, inds[1])
print(Z)",86
Numpy,Applied patterns and advanced,"Given an arbitrary number of vectors, build the cartesian product (every combination of every item) (★★★)","# Author: Stefan Van der Walt

def cartesian(arrays):
    arrays = [np.asarray(a) for a in arrays]
    shape = (len(x) for x in arrays)

    ix = np.indices(shape, dtype=int)
    ix = ix.reshape(len(arrays), -1).T

    for n, arr in enumerate(arrays):
        ix[:, n] = arrays[n][ix[:, n]]

    return ix

print (cartesian(([1, 2, 3], [4, 5], [6, 7])))",86
Numpy,Applied patterns and advanced,Compute the mode along axis=1 of a small integer matrix using bincount (tie-break by smallest value) (★★★),"Z = np.random.randint(0, 5, (6, 7))
m = Z.max() + 1
mode = np.apply_along_axis(lambda r: np.bincount(r, minlength=m).argmax(), 1, Z)
print(mode)",86
Numpy,Applied patterns and advanced,Solve Ax = b for multiple right-hand sides b (columns) at once (★★★),"A = np.random.randn(5, 5)
b = np.random.randn(5, 3)
x = np.linalg.solve(A, b)
print(x)",86
Numpy,Indexing and selection,Compute the row-wise median using np.partition (odd number of columns) (★★★),"Z = np.random.rand(7, 9)
m = Z.shape[1]//2
part = np.partition(Z, m, axis=1)
med = part[:, m]
print(med)",86
Numpy,Vectorization and broadcasting,"Consider a one-dimensional array Z, build a two-dimensional array whose first row is (Z[0],Z[1],Z[2]) and each subsequent row is  shifted by 1 (last row should be (Z[-3],Z[-2],Z[-1]) (★★★)","# Author: Joe Kington / Erik Rigtorp
from numpy.lib import stride_tricks

def rolling(a, window):
    shape = (a.size - window + 1, window)
    strides = (a.strides[0], a.strides[0])
    return stride_tricks.as_strided(a, shape=shape, strides=strides)
Z = rolling(np.arange(10), 3)
print(Z)

# Author: Jeff Luo (@Jeff1999)

Z = np.arange(10)
print(sliding_window_view(Z, window_shape=3))",86
Numpy,Applied patterns and advanced,Extract all 2x4 sliding windows from a 2D array and compute their sums (★★★),"from numpy.lib.stride_tricks import sliding_window_view
Z = np.arange(8*10).reshape(8, 10)
W = sliding_window_view(Z, (2, 4))  # shape: (7, 7, 2, 4)
S = W.sum(axis=(-2, -1))
print(S)",86
Numpy,Vectorization and broadcasting,Vectorized value mapping: replace values in a 1D array using a mapping dict {old:new} (★★★),"a = np.array([1,2,3,2,1,0])
mapping = {0:9, 1:8, 2:7}
max_key = max(mapping.keys())
table = np.arange(max_key+1)
for k,v in mapping.items():
    table[k] = v
out = table[a]
print(out)",86
Numpy,Applied patterns and advanced,"Consider an array Z = [1,2,3,4,5,6,7,8,9,10,11,12,13,14], how to generate an array R = [[1,2,3,4], [2,3,4,5], [3,4,5,6], ..., [11,12,13,14]]? (★★★)","# Author: Stefan van der Walt

Z = np.arange(1,15,dtype=np.uint32)
R = stride_tricks.as_strided(Z,(11,4),(4,4))
print(R)

# Author: Jeff Luo (@Jeff1999)

Z = np.arange(1, 15, dtype=np.uint32)
print(sliding_window_view(Z, window_shape=4))",87
Numpy,Applied patterns and advanced,"Consider 2 sets of points P0,P1 describing lines (2d) and a point p, how to compute distance from p to each line i (P0[i],P1[i])? (★★★)","P0 = np.random.uniform(-10,10,(10,2))
P1 = np.random.uniform(-10,10,(10,2))
p  = np.random.uniform(-10,10,( 1,2))

def distance_faster(P0,P1,p):
    #Author: Hemanth Pasupuleti
    #Reference: https://mathworld.wolfram.com/Point-LineDistance2-Dimensional.html

    v = P1- P0 
    v[:,[0,1]] = v[:,[1,0]]
    v[:,1]*=-1 
    norm = np.linalg.norm(v,axis=1)   
    r = P0 - p
    d = np.abs(np.einsum(""ij,ij->i"",r,v)) / norm 

    return d

print(distance_faster(P0, P1, p))

##--------------- OR ---------------##
def distance_slower(P0, P1, p):
    T = P1 - P0
    L = (T**2).sum(axis=1)
    U = -((P0[:,0]-p[...,0])*T[:,0] + (P0[:,1]-p[...,1])*T[:,1]) / L
    U = U.reshape(len(U),1)
    D = P0 + U*T - p
    return np.sqrt((D**2).sum(axis=1))

print(distance_slower(P0, P1, p))",88
Numpy,Applied patterns and advanced,Create a band matrix with main diagonal d0 and first upper/lower diagonals d1 using vectorized assignment (★★★),"n = 6
d0 = 5*np.ones(n)
d1 = -1*np.ones(n-1)
M = np.zeros((n,n))
np.fill_diagonal(M, d0)
np.fill_diagonal(M[:-1,1:], d1)
np.fill_diagonal(M[1:,:-1], d1)
print(M)",88
Numpy,Applied patterns and advanced,"Compute the pairwise Euclidean distance matrix between rows of X (n,d) without explicit Python loops (★★★)","X = np.random.rand(6, 4)
diff = X[:, None, :] - X[None, :, :]
D = np.sqrt(np.sum(diff*diff, axis=-1))
print(D)",88
Numpy,Applied patterns and advanced,Apply a 2D affine transform (3x3 homogeneous) to an array of 2D points (★★★),"pts = np.random.rand(5, 2)
T = np.array([[1.2, 0.2, 0.5],
              [-0.1, 0.9, 0.1],
              [0.0, 0.0, 1.0]])
H = np.c_[pts, np.ones(len(pts))]
out = (H @ T.T)[:, :2]
print(out)",88
Numpy,Indexing and selection,Replace each element by its rank within the row (1=smallest) (★★★),"Z = np.random.rand(4, 6)
order = np.argsort(Z, axis=1)
ranks = np.empty_like(order)
ranks[np.arange(Z.shape[0])[:, None], order] = np.arange(Z.shape[1])
print(ranks + 1)",88
Numpy,Applied patterns and advanced,"Create a 2D array subclass such that Z[i,j] == Z[j,i] (★★★)","# Author: Eric O. Lebigot
# Note: only works for 2d array and value setting using indices

class Symetric(np.ndarray):
    def __setitem__(self, index, value):
        i,j = index
        super(Symetric, self).__setitem__((i,j), value)
        super(Symetric, self).__setitem__((j,i), value)

def symetric(Z):
    return np.asarray(Z + Z.T - np.diag(Z.diagonal())).view(Symetric)

S = symetric(np.random.randint(0,10,(5,5)))
S[2,3] = 42
print(S)",88
Numpy,Applied patterns and advanced,Run-length encode a 1D integer array (values and counts) without Python loops over elements (★★★),"a = np.random.randint(0, 4, 30)
starts = np.r_[0, 1 + np.flatnonzero(a[1:] != a[:-1])]
values = a[starts]
counts = np.diff(np.r_[starts, a.size])
print(values, counts)",88
Numpy,Applied patterns and advanced,"Consider an arbitrary array, write a function that extracts a subpart with a fixed shape and centered on a given element (pad with a `fill` value when necessary) (★★★)","# Author: Nicolas Rougier

Z = np.random.randint(0,10,(10,10))
shape = (5,5)
fill  = 0
position = (1,1)

R = np.ones(shape, dtype=Z.dtype)*fill
P  = np.array(list(position)).astype(int)
Rs = np.array(list(R.shape)).astype(int)
Zs = np.array(list(Z.shape)).astype(int)

R_start = np.zeros((len(shape),)).astype(int)
R_stop  = np.array(list(shape)).astype(int)
Z_start = (P-Rs//2)
Z_stop  = (P+Rs//2)+Rs%2

R_start = (R_start - np.minimum(Z_start,0)).tolist()
Z_start = (np.maximum(Z_start,0)).tolist()
R_stop = np.maximum(R_start, (R_stop - np.maximum(Z_stop-Zs,0))).tolist()
Z_stop = (np.minimum(Z_stop,Zs)).tolist()

r = tuple([slice(start,stop) for start,stop in zip(R_start,R_stop)])
z = tuple([slice(start,stop) for start,stop in zip(Z_start,Z_stop)])
R[r] = Z[z]
print(Z)
print(R)",88
Numpy,Indexing and selection,Turn each row into a binary mask of its top-2 values (1 for top-2 else 0) (★★★),"Z = np.random.rand(5, 6)
k = 2
idx = np.argpartition(Z, -k, axis=1)[:, -k:]
mask = np.zeros_like(Z, dtype=int)
mask[np.arange(Z.shape[0])[:, None], idx] = 1
print(mask)",88
Numpy,Applied patterns and advanced,"Considering a path described by two vectors (X,Y), how to sample it using equidistant samples (★★★)?","# Author: Bas Swinckels

phi = np.arange(0, 10*np.pi, 0.1)
a = 1
x = a*phi*np.cos(phi)
y = a*phi*np.sin(phi)

dr = (np.diff(x)**2 + np.diff(y)**2)**.5 # segment lengths
r = np.zeros_like(x)
r[1:] = np.cumsum(dr)                # integrate path
r_int = np.linspace(0, r.max(), 200) # regular spaced path
x_int = np.interp(r_int, r, x)       # integrate path
y_int = np.interp(r_int, r, y)",88
Numpy,Applied patterns and advanced,Rotate a 2D array by 90 degrees k times without np.rot90 (★★★),"Z = np.arange(12).reshape(3,4)
k = 1
rot = np.transpose(Z, (1,0))[:, ::-1]
if k % 4 == 0:
    R = Z
elif k % 4 == 1:
    R = rot
elif k % 4 == 2:
    R = Z[::-1, ::-1]
else:
    R = np.transpose(Z[::-1, :])
print(R)",88
Numpy,Applied patterns and advanced,Compute a matrix rank (★★★),"# Author: Stefan van der Walt

Z = np.random.uniform(0,1,(10,10))
U, S, V = np.linalg.svd(Z) # Singular Value Decomposition
threshold = len(S) * S.max() * np.finfo(S.dtype).eps
rank = np.sum(S > threshold)
print(rank)

# alternative solution:
# Author: Jeff Luo (@Jeff1999)

rank = np.linalg.matrix_rank(Z)
print(rank)",89
Numpy,Applied patterns and advanced,"Compute bootstrapped 95% confidence intervals for the mean of a 1D array X (i.e., resample the elements of an array with replacement N times, compute the mean of each sample, and then compute percentiles over the means). (★★★)","# Author: Jessica B. Hamrick

X = np.random.randn(100) # random 1D array
N = 1000 # number of bootstrap samples
idx = np.random.randint(0, X.size, (N, X.size))
means = X[idx].mean(axis=1)
confint = np.percentile(means, [2.5, 97.5])
print(confint)",90
Numpy,Vectorization and broadcasting,"Consider a large vector Z, compute Z to the power of 3 using 3 different methods (★★★)","# Author: Ryan G.

x = np.random.rand(int(5e7))

%timeit np.power(x,3)
%timeit x*x*x
%timeit np.einsum('i,i,i->i',x,x,x)",90
Numpy,Applied patterns and advanced,"For points X (n,d), find indices of k nearest neighbors for each point (self excluded) (★★★)","X = np.random.rand(8, 3)
diff = X[:, None, :] - X[None, :, :]
D2 = np.sum(diff*diff, axis=-1)
np.fill_diagonal(D2, np.inf)
k = 2
idx = np.argpartition(D2, k, axis=1)[:, :k]
print(idx)",90
Numpy,Indexing and selection,Find the indices of the top-k values per row of a 2D array using partial sorting (★★★),"Z = np.random.rand(5, 10)
k = 3
idx = np.argpartition(Z, -k, axis=1)[:, -k:]
# sort the top-k indices by actual values descending
rows = np.arange(Z.shape[0])[:, None]
idx_sorted = idx[rows, np.argsort(Z[rows, idx], axis=1)[:, ::-1]]
print(idx_sorted)",90
Numpy,Vectorization and broadcasting,"Consider a 16x16 array, how to get the block-sum (block size is 4x4)? (★★★)","# Author: Robert Kern

Z = np.ones((16,16))
k = 4
S = np.add.reduceat(np.add.reduceat(Z, np.arange(0, Z.shape[0], k), axis=0),
                                       np.arange(0, Z.shape[1], k), axis=1)
print(S)

# alternative solution:
# Author: Sebastian Wallkötter (@FirefoxMetzger)

Z = np.ones((16,16))
k = 4

windows = np.lib.stride_tricks.sliding_window_view(Z, (k, k))
S = windows[::k, ::k, ...].sum(axis=(-2, -1))

# alternative solution (by @Gattocrucco)
S = Z.reshape(4, 4, 4, 4).sum((1, 3))",90
Numpy,Applied patterns and advanced,Implement 2D valid convolution via sliding windows and tensordot (★★★),"from numpy.lib.stride_tricks import sliding_window_view
X = np.arange(7*7).reshape(7,7)
K = np.array([[1,0,-1],[1,0,-1],[1,0,-1]])
W = sliding_window_view(X, K.shape)
Y = np.tensordot(W, K, axes=K.ndim)
print(Y)",90
Numpy,Applied patterns and advanced,Build a block-diagonal matrix from a list of 2D arrays without external libraries (★★★),"arrays = [np.ones((2,3)), 2*np.ones((1,2)), 3*np.ones((3,1))]
R = sum(a.shape[0] for a in arrays)
C = sum(a.shape[1] for a in arrays)
out = np.zeros((R, C))
ri = ci = 0
for a in arrays:
    r, c = a.shape
    out[ri:ri+r, ci:ci+c] = a
    ri += r; ci += c
print(out)",90
Numpy,Applied patterns and advanced,Compute the Jaccard distance matrix for a binary matrix (rows are sets) (★★★),"B = (np.random.rand(6, 8) > 0.6).astype(int)
inter = (B[:, None, :] & B[None, :, :]).sum(-1)
union = (B[:, None, :] | B[None, :, :]).sum(-1)
J = 1 - inter / np.where(union==0, 1, union)
print(J)",90
Numpy,Applied patterns and advanced,Compute the Khatri-Rao product (column-wise Kronecker) of two matrices with the same number of columns (★★★),"A = np.array([[1,2],[3,4],[5,6]])
B = np.array([[7,8],[9,10]])
# result has shape (A_rows*B_rows, n_cols)
KR = (A[:, None, :] * B[None, :, :]).reshape(A.shape[0]*B.shape[0], A.shape[1])
print(KR)",90
Numpy,Applied patterns and advanced,Sample categories according to row-wise probability matrix P (rows sum to 1) (★★★),"P = np.random.dirichlet(np.ones(5), size=10)
u = np.random.rand(P.shape[0], 1)
cs = np.cumsum(P, axis=1)
samples = (u < cs).argmax(axis=1)
print(samples)",90
Numpy,Applied patterns and advanced,"Consider 2 sets of points P0,P1 describing lines (2d) and a set of points P, how to compute distance from each point j (P[j]) to each line i (P0[i],P1[i])? (★★★)","# Author: Italmassov Kuanysh

# based on distance function from previous question
P0 = np.random.uniform(-10, 10, (10,2))
P1 = np.random.uniform(-10,10,(10,2))
p = np.random.uniform(-10, 10, (10,2))
print(np.array([distance(P0,P1,p_i) for p_i in p]))

# Author: Yang Wu (Broadcasting)
def distance_points_to_lines(p: np.ndarray, p_1: np.ndarray, p_2: np.ndarray) -> np.ndarray:
    x_0, y_0 = p.T  # Shape -> (n points, )
    x_1, y_1 = p_1.T  # Shape -> (n lines, )
    x_2, y_2 = p_2.T  # Shape -> (n lines, )

    # Displacement vector coordinates from p_1 -> p_2
    dx = x_2 - x_1  # Shape -> (n lines, )
    dy = y_2 - y_1  # Shape -> (n lines, )

    # The 'cross product' term
    cross_term = x_2 * y_1 - y_2 * x_1  # Shape -> (n lines, )

    # Broadcast x_0, y_0 (n points, 1) and dx, dy, cross_term (1, n lines) -> (n points, n lines)
    numerator = np.abs(
        dy[np.newaxis, :] * x_0[:, np.newaxis]
        - dx[np.newaxis, :] * y_0[:, np.newaxis]
        + cross_term[np.newaxis, :]
    )
    denominator = np.sqrt(dx**2 + dy**2)  # Shape -> (n lines, )

    # Shape (n points, n lines) / (1, n_lines) -> (n points, n lines)
    return numerator / denominator[np.newaxis, :]

distance_points_to_lines(p, P0, P1)",90
Numpy,Indexing and selection,"Considering a 10x3 matrix, extract rows with unequal values (e.g. [2,2,3]) (★★★)","# Author: Robert Kern

Z = np.random.randint(0,5,(10,3))
print(Z)
# solution for arrays of all dtypes (including string arrays and record arrays)
E = np.all(Z[:,1:] == Z[:,:-1], axis=1)
U = Z[~E]
print(U)
# soluiton for numerical arrays only, will work for any number of columns in Z
U = Z[Z.max(axis=1) != Z.min(axis=1),:]
print(U)",90
Numpy,Vectorization and broadcasting,"Considering 2 vectors A & B, write the einsum equivalent of inner, outer, sum, and mul function (★★★)","# Author: Alex Riley
# Make sure to read: http://ajcr.net/Basic-guide-to-einsum/

A = np.random.uniform(0,1,10)
B = np.random.uniform(0,1,10)

np.einsum('i->', A)       # np.sum(A)
np.einsum('i,i->i', A, B) # A * B
np.einsum('i,i', A, B)    # np.inner(A, B)
np.einsum('i,j->ij', A, B)    # np.outer(A, B)",91
Numpy,Applied patterns and advanced,Convert a vector of ints into a matrix binary representation (★★★),"# Author: Warren Weckesser

I = np.array([0, 1, 2, 3, 15, 16, 32, 64, 128])
B = ((I.reshape(-1,1) & (2**np.arange(8))) != 0).astype(int)
print(B[:,::-1])

# Author: Daniel T. McDonald

I = np.array([0, 1, 2, 3, 15, 16, 32, 64, 128], dtype=np.uint8)
print(np.unpackbits(I[:, np.newaxis], axis=1))",92
Numpy,Applied patterns and advanced,"Given a two dimensional array, how to extract unique rows? (★★★)","# Author: Jaime Fernández del Río

Z = np.random.randint(0,2,(6,3))
T = np.ascontiguousarray(Z).view(np.dtype((np.void, Z.dtype.itemsize * Z.shape[1])))
_, idx = np.unique(T, return_index=True)
uZ = Z[idx]
print(uZ)

# Author: Andreas Kouzelis
# NumPy >= 1.13
uZ = np.unique(Z, axis=0)
print(uZ)",92
Numpy,Vectorization and broadcasting,How to get the n largest values of an array (★★★),"Z = np.arange(10000)
np.random.shuffle(Z)
n = 5

# Slow
print (Z[np.argsort(Z)[-n:]])

# Fast
print (Z[np.argpartition(-Z,n)[:n]])",92
Numpy,Applied patterns and advanced,"Consider a set of 10 triplets describing 10 triangles (with shared vertices), find the set of unique line segments composing all the  triangles (★★★)","# Author: Nicolas P. Rougier

faces = np.random.randint(0,100,(10,3))
F = np.roll(faces.repeat(2,axis=1),-1,axis=1)
F = F.reshape(len(F)*3,2)
F = np.sort(F,axis=1)
G = F.view( dtype=[('p0',F.dtype),('p1',F.dtype)] )
G = np.unique(G)
print(G)",93
Numpy,Applied patterns and advanced,"Consider a set of p matrices with shape (n,n) and a set of p vectors with shape (n,1). How to compute the sum of of the p matrix products at once? (result has shape (n,1)) (★★★)","# Author: Stefan van der Walt

p, n = 10, 20
M = np.ones((p,n,n))
V = np.ones((p,n,1))
S = np.tensordot(M, V, axes=[[0, 2], [0, 1]])
print(S)

# It works, because:
# M is (p,n,n)
# V is (p,n,1)
# Thus, summing over the paired axes 0 and 0 (of M and V independently),
# and 2 and 1, to remain with a (n,1) vector.",94
Numpy,Applied patterns and advanced,How to implement the Game of Life using numpy arrays? (★★★),"# Author: Nicolas Rougier

def iterate(Z):
    # Count neighbours
    N = (Z[0:-2,0:-2] + Z[0:-2,1:-1] + Z[0:-2,2:] +
         Z[1:-1,0:-2]                + Z[1:-1,2:] +
         Z[2:  ,0:-2] + Z[2:  ,1:-1] + Z[2:  ,2:])

    # Apply rules
    birth = (N==3) & (Z[1:-1,1:-1]==0)
    survive = ((N==2) | (N==3)) & (Z[1:-1,1:-1]==1)
    Z[...] = 0
    Z[1:-1,1:-1][birth | survive] = 1
    return Z

Z = np.random.randint(0,2,(50,50))
for i in range(100): Z = iterate(Z)
print(Z)",95
Numpy,Applied patterns and advanced,"Given an integer n and a 2D array X, select from X the rows which can be interpreted as draws from a multinomial distribution with n degrees, i.e., the rows which only contain integers and which sum to n. (★★★)","# Author: Evgeni Burovski

X = np.asarray([[1.0, 0.0, 3.0, 8.0],
                [2.0, 0.0, 1.0, 1.0],
                [1.5, 2.5, 1.0, 0.0]])
n = 4
M = np.logical_and.reduce(np.mod(X, 1) == 0, axis=-1)
M &= (X.sum(axis=-1) == n)
print(X[M])",97
Numpy,Indexing and selection,"Consider two arrays A and B of shape (8,3) and (2,2). How to find rows of A that contain elements of each row of B regardless of the order of the elements in B? (★★★)","# Author: Gabe Schwartz

A = np.random.randint(0,5,(8,3))
B = np.random.randint(0,5,(2,2))

C = (A[..., np.newaxis, np.newaxis] == B)
rows = np.where(C.any((3,1)).all(1))[0]
print(rows)",100
Numpy,Core array literacy,Create a 3x3 matrix filled with True (★☆☆),"Z = np.ones((3,3), dtype=bool); print(Z)",12
Numpy,Core array literacy,Create a null vector of size 10 but the fifth value which is 1 (★☆☆),"Z = np.zeros(10)
Z[4] = 1
print(Z)",12
Numpy,Core array literacy,Create a vector from 0 to 10 with step 0.5 (★☆☆),"Z = np.arange(0, 10.5, 0.5); print(Z)",12
Numpy,Core array literacy,Create a vector of integers 0..9 with dtype int32 (★☆☆),"Z = np.arange(10, dtype=np.int32); print(Z)",12
