id,tier,primary,p_primary,secondary,self_contained,needs_figure
lc605,fallback,leetcode.greedy,0.88,leetcode.arrays-strings,0.94,0.05
lc606,fallback,leetcode.recursion,0.95,leetcode.binary-trees;leetcode.tree-dfs,0.85,0.09
lc609,fallback,leetcode.hash-maps,0.95,,0.93,0.04
lc611,fallback,leetcode.binary-search,0.48,,0.66,0.04
lc616,fallback,leetcode.trie,0.78,leetcode.merge-intervals,0.9,0.08
lc617,fallback,leetcode.recursion,0.94,leetcode.binary-trees;leetcode.tree-dfs,0.77,0.18
lc621,core,leetcode.greedy,0.76,,0.93,0.04
lc623,fallback,leetcode.recursion,0.84,leetcode.tree-dfs;leetcode.binary-trees,0.84,0.15
lc624,fallback,leetcode.greedy,0.81,,0.93,0.03
lc625,fallback,leetcode.greedy,0.83,leetcode.math,0.89,0.03
lc628,fallback,leetcode.greedy,0.53,,0.92,0.02
lc629,fallback,leetcode.dp-1d,0.55,,0.9,0.03
lc630,fallback,leetcode.greedy,0.95,,0.92,0.03
lc632,fallback,leetcode.sliding-window,0.89,leetcode.two-pointers,0.9,0.04
lc633,fallback,leetcode.two-pointers,0.92,,0.94,0.02
lc634,fallback,leetcode.dp-1d,0.83,,0.85,0.03
lc636,fallback,leetcode.stack,0.94,,0.92,0.09
lc637,fallback,leetcode.tree-bfs,0.98,,0.72,0.12
lc638,fallback,leetcode.recursion,0.69,,0.92,0.04
lc639,fallback,leetcode.dp-1d,0.98,,0.92,0.03
lc640,fallback,leetcode.arrays-strings,0.79,,0.83,0.03
lc643,fallback,leetcode.sliding-window,0.94,,0.93,0.02
lc644,fallback,leetcode.binary-search,0.95,,0.9,0.03
lc645,fallback,leetcode.math,0.75,,0.91,0.03
lc646,fallback,leetcode.greedy,0.96,,0.93,0.03
lc647,core,leetcode.two-pointers,0.52,,0.94,0.03
lc648,fallback,leetcode.trie,0.98,,0.9,0.03
lc649,core,leetcode.greedy,0.74,,0.9,0.04
lc650,fallback,leetcode.math,0.72,leetcode.recursion,0.93,0.04
lc651,fallback,leetcode.dp-1d,0.9,,0.9,0.04
lc653,core,leetcode.hash-maps,0.95,,0.79,0.11
lc654,fallback,leetcode.recursion,0.91,,0.75,0.11
lc655,fallback,leetcode.recursion,0.83,leetcode.tree-dfs;leetcode.binary-trees,0.74,0.17
lc656,fallback,leetcode.dp-1d,0.94,,0.89,0.04
lc657,fallback,leetcode.arrays-strings,0.95,,0.96,0.05
lc658,core,leetcode.greedy,0.33,,0.93,0.03
lc659,fallback,leetcode.greedy,0.77,,0.93,0.03
lc660,fallback,leetcode.math,0.87,,0.91,0.03
lc661,fallback,leetcode.arrays-strings,0.93,,0.92,0.52
lc662,core,leetcode.tree-bfs,0.96,,0.78,0.18
lc663,fallback,leetcode.tree-dfs,0.88,leetcode.recursion;leetcode.hash-maps,0.79,0.14
lc664,fallback,leetcode.dp-intervals,0.93,,0.93,0.04
lc665,fallback,leetcode.arrays-strings,0.84,,0.93,0.03
lc666,fallback,leetcode.tree-dfs,0.97,leetcode.recursion;leetcode.binary-trees,0.78,0.43
lc667,fallback,leetcode.two-pointers,0.68,,0.91,0.03
lc668,fallback,leetcode.binary-search,0.96,,0.9,0.08
lc669,fallback,leetcode.bst,0.91,leetcode.recursion;leetcode.tree-dfs,0.81,0.13
lc670,fallback,leetcode.greedy,0.82,,0.93,0.03
lc671,fallback,leetcode.tree-dfs,0.88,leetcode.recursion;leetcode.binary-trees,0.84,0.12
lc672,fallback,leetcode.bit-manipulation,0.91,leetcode.subsets,0.85,0.04
lc673,core,leetcode.dp-lis,0.96,leetcode.dp-1d,0.92,0.03
lc674,fallback,leetcode.arrays-strings,0.94,,0.94,0.03
lc675,fallback,leetcode.graphs,0.72,,0.91,0.29
lc678,core,leetcode.dp-intervals,0.67,,0.93,0.03
lc679,fallback,leetcode.backtracking,0.91,leetcode.recursion,0.91,0.03
lc680,core,leetcode.two-pointers,0.95,,0.91,0.03
lc681,fallback,leetcode.backtracking,0.73,leetcode.recursion;leetcode.subsets,0.89,0.03
lc682,core,leetcode.stack,0.94,,0.95,0.03
lc683,fallback,leetcode.prefix-sums,0.38,,0.92,0.05
lc684,core,leetcode.union-find,0.98,,0.92,0.07
lc685,fallback,leetcode.union-find,0.92,,0.88,0.12
lc686,core,leetcode.arrays-strings,0.3,,0.94,0.03
lc687,fallback,leetcode.tree-dfs,0.97,leetcode.recursion,0.73,0.36
lc688,fallback,leetcode.dp-grid,0.81,,0.78,0.34
lc689,fallback,leetcode.sliding-window,0.64,,0.88,0.04
lc691,fallback,leetcode.graphs,0.7,,0.92,0.03
lc692,fallback,leetcode.hash-maps,0.71,,0.95,0.02
lc693,fallback,leetcode.bit-manipulation,0.49,,0.94,0.03
lc694,fallback,leetcode.islands,0.9,leetcode.graphs;leetcode.recursion,0.9,0.13
lc695,core,leetcode.islands,0.98,leetcode.graphs;leetcode.recursion,0.93,0.08
lc696,fallback,leetcode.arrays-strings,0.78,,0.94,0.03
lc697,fallback,leetcode.hash-maps,0.95,,0.93,0.03
lc698,core,leetcode.backtracking,0.96,leetcode.recursion,0.88,0.03
lc699,fallback,leetcode.recursion,0.13,,0.9,0.22
lc700,core,leetcode.bst,0.98,leetcode.recursion,0.78,0.13
lc701,core,leetcode.bst,0.98,leetcode.recursion,0.71,0.31
lc704,core,leetcode.binary-search,0.3,,0.94,0.02
lc711,fallback,leetcode.islands,0.91,leetcode.graphs,0.87,0.19
lc712,fallback,leetcode.dp-strings,0.98,leetcode.dp-grid,0.93,0.03
lc713,fallback,leetcode.sliding-window,0.98,leetcode.two-pointers,0.92,0.03
lc714,core,leetcode.recursion,0.55,,0.92,0.03
lc717,fallback,leetcode.arrays-strings,0.93,,0.93,0.04
lc718,fallback,leetcode.dp-grid,0.83,leetcode.dp-strings,0.88,0.03
lc719,fallback,leetcode.binary-search,0.95,,0.91,0.03
lc720,fallback,leetcode.trie,0.95,,0.93,0.03
lc721,core,leetcode.union-find,0.98,,0.92,0.03
lc722,fallback,leetcode.arrays-strings,0.93,,0.92,0.08
lc723,fallback,leetcode.arrays-strings,0.89,,0.92,0.11
lc724,fallback,leetcode.prefix-sums,0.89,,0.96,0.03
lc726,fallback,leetcode.recursion,0.67,,0.92,0.03
lc727,fallback,leetcode.dp-strings,0.88,leetcode.dp-grid,0.9,0.03
lc728,fallback,leetcode.math,0.85,,0.94,0.02
lc730,fallback,leetcode.dp-grid,0.53,,0.91,0.03
lc733,core,leetcode.islands,0.96,leetcode.graphs;leetcode.recursion,0.93,0.13
lc734,fallback,leetcode.hash-maps,0.87,leetcode.arrays-strings,0.95,0.03
lc735,core,leetcode.stack,0.94,,0.92,0.06
lc736,fallback,leetcode.recursion,0.75,,0.82,0.06
lc737,fallback,leetcode.union-find,0.97,,0.93,0.03
lc738,fallback,leetcode.greedy,0.84,,0.94,0.03
lc740,fallback,leetcode.dp-1d,0.94,,0.94,0.03
lc741,fallback,leetcode.dp-grid,0.74,,0.91,0.11
lc742,fallback,leetcode.graphs,0.93,leetcode.tree-bfs,0.81,0.14
lc743,core,leetcode.shortest-paths,0.93,,0.92,0.07
lc744,fallback,leetcode.binary-search,0.82,,0.91,0.03
lc746,core,leetcode.dp-1d,0.98,,0.92,0.05
lc747,fallback,leetcode.top-k-elements,0.69,,0.95,0.02
lc748,fallback,leetcode.hash-maps,0.94,leetcode.arrays-strings,0.95,0.03
lc749,fallback,leetcode.islands,0.86,leetcode.graphs,0.81,0.47
lc750,fallback,leetcode.hash-maps,0.91,,0.93,0.1
lc751,fallback,leetcode.greedy,0.7,,0.89,0.04
lc752,core,leetcode.graphs,0.95,,0.93,0.05
lc753,fallback,leetcode.graphs,0.6,,0.84,0.13
lc754,fallback,leetcode.math,0.85,,0.94,0.04
lc755,fallback,leetcode.arrays-strings,0.92,,0.83,0.26
lc756,fallback,leetcode.recursion,0.92,leetcode.backtracking;leetcode.tree-dfs,0.9,0.29
lc757,fallback,leetcode.greedy,0.97,,0.9,0.04
lc758,fallback,leetcode.trie,0.75,leetcode.merge-intervals,0.76,0.09
lc760,fallback,leetcode.hash-maps,0.95,,0.93,0.03
lc761,fallback,leetcode.recursion,0.92,,0.9,0.04
lc762,fallback,leetcode.bit-manipulation,0.54,,0.88,0.03
lc764,fallback,leetcode.dp-grid,0.85,,0.91,0.35
lc765,fallback,leetcode.union-find,0.95,,0.92,0.05
lc766,fallback,leetcode.arrays-strings,0.9,,0.94,0.14
lc767,core,leetcode.greedy,0.83,,0.94,0.03
lc768,fallback,leetcode.monotonic-stack,0.8,leetcode.stack,0.91,0.03
lc769,fallback,leetcode.greedy,0.8,,0.92,0.04
lc770,fallback,leetcode.stack,0.55,,0.63,0.04
lc771,fallback,leetcode.hash-maps,0.95,,0.95,0.03
lc772,fallback,leetcode.stack,0.91,,0.9,0.03
lc773,fallback,leetcode.graphs,0.91,,0.91,0.09
lc774,core,leetcode.binary-search,0.97,,0.88,0.06
lc775,fallback,leetcode.arrays-strings,0.73,,0.94,0.03
lc777,fallback,leetcode.arrays-strings,0.62,,0.94,0.04
lc778,core,leetcode.union-find,0.96,leetcode.mst,0.93,0.3
lc779,fallback,leetcode.recursion,0.94,,0.93,0.06
lc780,fallback,leetcode.math,0.86,,0.94,0.04
lc781,fallback,leetcode.hash-maps,0.79,,0.89,0.04
lc782,fallback,leetcode.bit-manipulation,0.85,,0.85,0.23
lc783,fallback,leetcode.bst,0.83,leetcode.tree-dfs;leetcode.binary-trees;leetcode.recursion,0.7,0.11
lc784,fallback,leetcode.backtracking,0.94,leetcode.recursion;leetcode.subsets,0.92,0.03
lc785,core,leetcode.graphs,0.97,,0.9,0.09
lc786,fallback,leetcode.top-k-elements,0.89,leetcode.k-way-merge,0.92,0.03
lc787,core,leetcode.shortest-paths,0.95,,0.92,0.23
lc788,fallback,leetcode.arrays-strings,0.62,,0.95,0.06
lc789,fallback,leetcode.math,0.28,,0.91,0.06
lc790,fallback,leetcode.dp-1d,0.49,,0.64,0.63
lc791,fallback,leetcode.hash-maps,0.29,,0.94,0.03
lc792,fallback,leetcode.hash-maps,0.47,,0.93,0.03
lc793,fallback,leetcode.binary-search,0.91,,0.9,0.03
lc794,fallback,leetcode.arrays-strings,0.76,,0.92,0.1
lc795,fallback,leetcode.arrays-strings,0.63,,0.93,0.03
lc796,core,leetcode.arrays-strings,0.11,,0.95,0.03
lc797,fallback,leetcode.graphs,0.7,,0.92,0.07
lc798,fallback,leetcode.prefix-sums,0.82,,0.92,0.04
lc799,fallback,leetcode.dp-grid,0.88,,0.87,0.3
lc800,fallback,leetcode.math,0.73,,0.9,0.04
lc801,fallback,leetcode.dp-1d,0.86,,0.94,0.03
lc802,core,leetcode.topological-sort,0.89,,0.92,0.28
lc803,fallback,leetcode.union-find,0.97,,0.86,0.1
lc804,fallback,leetcode.hash-maps,0.87,,0.84,0.05
lc805,fallback,leetcode.subsets,0.66,,0.92,0.03
lc806,fallback,leetcode.arrays-strings,0.95,,0.95,0.04
lc807,fallback,leetcode.greedy,0.5,,0.9,0.42
lc808,fallback,leetcode.recursion,0.8,,0.92,0.04
lc809,fallback,leetcode.arrays-strings,0.85,leetcode.two-pointers,0.93,0.04
lc810,fallback,leetcode.bit-manipulation,0.61,,0.93,0.03
lc811,fallback,leetcode.hash-maps,0.95,leetcode.arrays-strings,0.91,0.04
lc812,fallback,leetcode.arrays-strings,0.47,,0.83,0.29
lc813,fallback,leetcode.dp-1d,0.92,leetcode.dp-intervals;leetcode.recursion,0.92,0.03
lc814,fallback,leetcode.recursion,0.93,leetcode.tree-dfs;leetcode.binary-trees,0.8,0.29
lc815,fallback,leetcode.graphs,0.95,,0.92,0.04
lc816,fallback,leetcode.arrays-strings,0.49,,0.9,0.04
lc817,fallback,leetcode.linked-lists,0.63,,0.86,0.11
lc818,fallback,leetcode.dp-1d,0.87,,0.92,0.04
lc820,fallback,leetcode.trie,0.96,leetcode.tree-dfs,0.92,0.08
lc821,fallback,leetcode.arrays-strings,0.79,,0.95,0.03
lc822,fallback,leetcode.hash-maps,0.86,,0.94,0.05
lc823,fallback,leetcode.dp-1d,0.7,,0.9,0.13
lc824,fallback,leetcode.arrays-strings,0.92,,0.96,0.03
lc825,fallback,leetcode.hash-maps,0.5,,0.95,0.03
lc826,fallback,leetcode.greedy,0.85,leetcode.two-pointers,0.94,0.03
lc827,core,leetcode.islands,0.84,leetcode.graphs,0.91,0.07
lc828,fallback,leetcode.hash-maps,0.48,,0.91,0.03
lc829,fallback,leetcode.math,0.81,,0.89,0.03
lc830,fallback,leetcode.arrays-strings,0.94,leetcode.two-pointers,0.95,0.03
lc831,fallback,leetcode.arrays-strings,0.74,,0.93,0.04
lc832,fallback,leetcode.two-pointers,0.84,leetcode.arrays-strings,0.94,0.05
lc833,fallback,leetcode.arrays-strings,0.86,,0.93,0.05
lc834,fallback,leetcode.tree-dfs,0.84,,0.83,0.29
lc835,fallback,leetcode.hash-maps,0.92,leetcode.arrays-strings,0.91,0.35
lc836,fallback,leetcode.merge-intervals,0.12,,0.95,0.11
lc837,fallback,leetcode.dp-1d,0.84,,0.91,0.04
lc838,fallback,leetcode.graphs,0.76,,0.91,0.09
lc839,fallback,leetcode.union-find,0.97,,0.91,0.04
lc841,fallback,leetcode.graphs,0.98,,0.94,0.04
lc842,fallback,leetcode.backtracking,0.97,leetcode.recursion,0.93,0.03
lc846,core,leetcode.greedy,0.88,leetcode.hash-maps,0.92,0.03
lc850,fallback,leetcode.merge-intervals,0.11,,0.86,0.36
lc851,fallback,leetcode.graphs,0.76,,0.92,0.05
lc852,fallback,leetcode.binary-search,0.93,,0.91,0.07
lc853,core,leetcode.greedy,0.53,,0.92,0.07
lc854,fallback,leetcode.graphs,0.86,,0.93,0.03
lc856,fallback,leetcode.arrays-strings,0.67,,0.94,0.04
lc857,fallback,leetcode.greedy,0.85,leetcode.top-k-elements,0.92,0.03
lc858,fallback,leetcode.math,0.95,,0.57,0.4
lc859,fallback,leetcode.hash-maps,0.76,leetcode.arrays-strings,0.95,0.03
lc860,core,leetcode.greedy,0.88,,0.95,0.03
lc861,fallback,leetcode.greedy,0.86,,0.93,0.06
lc862,fallback,leetcode.prefix-sums,0.76,,0.93,0.03
lc864,fallback,leetcode.graphs,0.81,,0.91,0.1
lc865,fallback,leetcode.tree-dfs,0.96,leetcode.recursion;leetcode.binary-trees,0.79,0.32
lc866,fallback,leetcode.math,0.88,,0.94,0.03
lc867,core,leetcode.arrays-strings,0.45,,0.93,0.1
lc868,fallback,leetcode.arrays-strings,0.47,,0.93,0.12
lc869,fallback,leetcode.hash-maps,0.72,,0.92,0.03
lc870,fallback,leetcode.greedy,0.92,leetcode.two-pointers,0.93,0.03
lc871,fallback,leetcode.greedy,0.92,leetcode.top-k-elements,0.92,0.05
lc872,fallback,leetcode.binary-trees,0.91,leetcode.recursion;leetcode.tree-dfs,0.7,0.56
lc873,fallback,leetcode.dp-grid,0.43,,0.93,0.03
lc874,fallback,leetcode.arrays-strings,0.75,,0.93,0.06
lc875,core,leetcode.binary-search,0.98,,0.93,0.03
lc876,core,leetcode.fast-slow-pointers,0.99,leetcode.two-pointers;leetcode.linked-lists,0.79,0.07
lc877,core,leetcode.recursion,0.54,,0.92,0.04
lc878,fallback,leetcode.binary-search,0.9,,0.78,0.03
lc879,fallback,leetcode.knapsack-dp,0.86,,0.93,0.03
lc880,fallback,leetcode.arrays-strings,0.48,,0.94,0.03
lc881,core,leetcode.two-pointers,0.97,leetcode.greedy,0.95,0.03
lc882,fallback,leetcode.shortest-paths,0.93,,0.87,0.37
lc883,fallback,leetcode.arrays-strings,0.7,,0.75,0.52
lc884,fallback,leetcode.hash-maps,0.98,,0.94,0.02
lc885,fallback,leetcode.arrays-strings,0.76,,0.9,0.17
lc886,fallback,leetcode.graphs,0.97,,0.92,0.04
lc887,fallback,leetcode.recursion,0.49,,0.92,0.04
lc888,fallback,leetcode.hash-maps,0.94,,0.94,0.03
lc889,fallback,leetcode.binary-trees,0.91,leetcode.recursion,0.64,0.1
lc890,fallback,leetcode.hash-maps,0.65,,0.93,0.03
lc891,fallback,leetcode.math,0.6,,0.91,0.03
lc892,fallback,leetcode.arrays-strings,0.78,,0.8,0.27
lc893,fallback,leetcode.hash-maps,0.8,,0.94,0.03
lc896,fallback,leetcode.arrays-strings,0.87,,0.95,0.03
lc897,fallback,leetcode.binary-trees,0.85,leetcode.recursion;leetcode.tree-dfs;leetcode.bst,0.71,0.13
lc898,fallback,leetcode.hash-maps,0.32,,0.93,0.03
lc899,fallback,leetcode.greedy,0.37,,0.91,0.03
lc902,fallback,leetcode.recursion,0.75,,0.86,0.03
lc903,fallback,leetcode.dp-grid,0.38,,0.92,0.03
lc904,core,leetcode.sliding-window,0.98,,0.94,0.04
lc905,fallback,leetcode.two-pointers,0.96,,0.95,0.03
lc906,fallback,leetcode.math,0.33,,0.93,0.03
lc907,core,leetcode.monotonic-stack,0.98,leetcode.stack,0.91,0.03
lc908,fallback,leetcode.math,0.55,,0.95,0.03
lc909,fallback,leetcode.graphs,0.93,,0.89,0.18
lc910,fallback,leetcode.greedy,0.77,,0.94,0.03
lc912,core,leetcode.sorting-algorithms,0.98,,0.9,0.03
lc913,fallback,leetcode.topological-sort,0.55,,0.89,0.07
lc914,fallback,leetcode.math,0.91,,0.93,0.03
lc915,fallback,leetcode.arrays-strings,0.54,,0.94,0.03
lc916,fallback,leetcode.hash-maps,0.93,,0.94,0.03
lc917,fallback,leetcode.two-pointers,0.97,,0.96,0.03
lc918,core,leetcode.prefix-sums,0.61,,0.9,0.06
lc920,fallback,leetcode.dp-grid,0.71,,0.93,0.03
lc921,core,leetcode.stack,0.94,,0.94,0.03
lc922,fallback,leetcode.two-pointers,0.85,,0.94,0.03
lc923,fallback,leetcode.hash-maps,0.92,,0.93,0.03
lc924,fallback,leetcode.union-find,0.95,,0.91,0.06
lc925,fallback,leetcode.two-pointers,0.91,leetcode.arrays-strings,0.91,0.03
lc926,fallback,leetcode.prefix-sums,0.68,,0.94,0.03
lc927,fallback,leetcode.arrays-strings,0.75,,0.93,0.04
lc928,fallback,leetcode.union-find,0.92,,0.89,0.07
lc929,fallback,leetcode.hash-maps,0.83,leetcode.arrays-strings,0.95,0.03
lc930,core,leetcode.prefix-sums,0.97,leetcode.hash-maps,0.93,0.16
lc931,fallback,leetcode.dp-grid,0.87,,0.92,0.2
lc932,fallback,leetcode.recursion,0.91,,0.89,0.04
lc934,fallback,leetcode.islands,0.89,leetcode.graphs,0.9,0.08
lc935,fallback,leetcode.dp-1d,0.54,,0.48,0.73
lc936,fallback,leetcode.topological-sort,0.91,leetcode.graphs,0.89,0.06
lc937,fallback,leetcode.sorting-algorithms,0.26,,0.94,0.03
lc938,fallback,leetcode.bst,0.88,leetcode.recursion;leetcode.tree-dfs,0.79,0.09
lc939,fallback,leetcode.hash-maps,0.8,,0.91,0.09
lc940,fallback,leetcode.dp-1d,0.36,,0.91,0.03
lc941,fallback,leetcode.two-pointers,0.91,leetcode.arrays-strings,0.95,0.05
lc942,fallback,leetcode.two-pointers,0.69,,0.93,0.04
lc943,fallback,leetcode.bit-manipulation,0.3,,0.9,0.03
lc944,fallback,leetcode.arrays-strings,0.95,,0.93,0.07
lc945,fallback,leetcode.greedy,0.92,,0.95,0.03
lc946,fallback,leetcode.stack,0.92,,0.94,0.03
lc947,core,leetcode.union-find,0.98,,0.93,0.08
lc948,fallback,leetcode.greedy,0.95,leetcode.two-pointers,0.94,0.03
lc949,fallback,leetcode.arrays-strings,0.54,,0.94,0.03
lc950,fallback,leetcode.arrays-strings,0.18,,0.94,0.04
lc951,fallback,leetcode.recursion,0.91,leetcode.tree-dfs;leetcode.binary-trees,0.77,0.17
lc952,fallback,leetcode.union-find,0.97,,0.92,0.1
lc953,core,leetcode.arrays-strings,0.79,,0.89,0.05
lc954,fallback,leetcode.hash-maps,0.85,leetcode.greedy,0.93,0.03
lc955,fallback,leetcode.greedy,0.85,,0.93,0.03
lc956,fallback,leetcode.recursion,0.58,,0.9,0.06
lc957,fallback,leetcode.arrays-strings,0.53,,0.95,0.06
lc958,fallback,leetcode.tree-bfs,0.93,leetcode.binary-trees,0.81,0.16
lc959,fallback,leetcode.union-find,0.97,,0.79,0.47
lc960,fallback,leetcode.dp-lis,0.88,leetcode.dp-1d,0.92,0.04
lc961,fallback,leetcode.hash-maps,0.95,,0.94,0.02
lc962,fallback,leetcode.monotonic-stack,0.86,leetcode.stack,0.94,0.04
lc963,fallback,leetcode.hash-maps,0.44,,0.87,0.12
lc964,fallback,leetcode.recursion,0.78,,0.88,0.04
lc965,fallback,leetcode.recursion,0.88,leetcode.tree-dfs;leetcode.binary-trees,0.79,0.1
lc966,fallback,leetcode.hash-maps,0.93,,0.93,0.03
lc967,fallback,leetcode.recursion,0.91,leetcode.tree-dfs;leetcode.backtracking,0.92,0.03
lc968,fallback,leetcode.tree-dfs,0.75,leetcode.recursion,0.68,0.42
lc969,fallback,leetcode.greedy,0.45,,0.94,0.04
lc971,fallback,leetcode.tree-dfs,0.92,leetcode.binary-trees;leetcode.recursion,0.79,0.21
lc972,fallback,leetcode.math,0.73,,0.68,0.24
lc973,core,leetcode.sorting-algorithms,0.43,,0.93,0.06
lc974,fallback,leetcode.prefix-sums,0.95,leetcode.hash-maps,0.92,0.03
lc976,fallback,leetcode.greedy,0.91,,0.86,0.04
lc977,fallback,leetcode.two-pointers,0.97,,0.93,0.03
lc978,core,leetcode.dp-1d,0.6,,0.93,0.04
lc979,fallback,leetcode.tree-dfs,0.9,leetcode.recursion,0.77,0.14
lc982,fallback,leetcode.hash-maps,0.86,,0.94,0.03
lc983,fallback,leetcode.dp-1d,0.91,leetcode.recursion,0.93,0.03
lc984,fallback,leetcode.greedy,0.85,,0.95,0.03
lc985,fallback,leetcode.arrays-strings,0.72,,0.94,0.03
lc986,fallback,leetcode.two-pointers,0.93,,0.94,0.1
lc987,core,leetcode.tree-dfs,0.58,,0.84,0.12
lc988,fallback,leetcode.tree-dfs,0.95,leetcode.recursion;leetcode.backtracking,0.81,0.16
lc989,fallback,leetcode.arrays-strings,0.74,,0.93,0.03
lc990,fallback,leetcode.union-find,0.98,,0.91,0.03
lc991,fallback,leetcode.greedy,0.79,,0.94,0.03
lc992,core,leetcode.sliding-window,0.92,,0.91,0.03
lc993,fallback,leetcode.tree-bfs,0.94,leetcode.binary-trees,0.82,0.12
lc997,core,leetcode.hash-maps,0.57,,0.95,0.04
lc998,fallback,leetcode.recursion,0.9,,0.79,0.2
lc999,fallback,leetcode.arrays-strings,0.93,,0.93,0.12
lc1000,fallback,leetcode.dp-intervals,0.88,,0.92,0.04
lc1001,fallback,leetcode.hash-maps,0.95,,0.91,0.3
lc1002,fallback,leetcode.hash-maps,0.95,,0.92,0.03
lc1003,fallback,leetcode.stack,0.89,,0.95,0.03
lc1004,core,leetcode.sliding-window,0.94,leetcode.two-pointers,0.92,0.11
lc1005,fallback,leetcode.greedy,0.9,,0.94,0.03
lc1006,fallback,leetcode.stack,0.75,,0.92,0.03
lc1007,fallback,leetcode.greedy,0.48,,0.93,0.19
lc1008,core,leetcode.recursion,0.81,leetcode.bst;leetcode.binary-trees,0.71,0.12
lc1009,fallback,leetcode.bit-manipulation,0.92,,0.93,0.03
lc1010,fallback,leetcode.hash-maps,0.95,leetcode.math,0.95,0.02
lc1011,core,leetcode.binary-search,0.98,,0.93,0.04
lc1012,fallback,leetcode.recursion,0.61,,0.91,0.03
lc1013,fallback,leetcode.arrays-strings,0.62,,0.94,0.03
lc1014,fallback,leetcode.arrays-strings,0.36,,0.94,0.04
lc1016,fallback,leetcode.arrays-strings,0.44,,0.92,0.04
lc1017,fallback,leetcode.math,0.85,,0.85,0.03
lc1018,fallback,leetcode.math,0.84,,0.94,0.04
lc1019,fallback,leetcode.monotonic-stack,0.98,leetcode.stack,0.88,0.05
lc1020,core,leetcode.islands,0.97,leetcode.graphs,0.92,0.1
lc1021,fallback,leetcode.arrays-strings,0.82,,0.95,0.03
lc1022,fallback,leetcode.tree-dfs,0.98,leetcode.recursion;leetcode.binary-trees,0.79,0.1
lc1023,fallback,leetcode.arrays-strings,0.78,leetcode.two-pointers,0.93,0.03
lc1024,fallback,leetcode.greedy,0.92,,0.91,0.05
lc1025,fallback,leetcode.math,0.81,,0.94,0.03
lc1026,fallback,leetcode.tree-dfs,0.94,leetcode.recursion,0.81,0.17
lc1027,fallback,leetcode.dp-grid,0.24,,0.93,0.03
lc1028,fallback,leetcode.recursion,0.9,leetcode.binary-trees;leetcode.tree-dfs,0.75,0.09
lc1029,fallback,leetcode.greedy,0.96,,0.94,0.03
lc1030,fallback,leetcode.graphs,0.91,leetcode.islands,0.93,0.05
lc1031,fallback,leetcode.sliding-window,0.64,leetcode.prefix-sums,0.94,0.03
lc1033,fallback,leetcode.math,0.54,,0.93,0.05
lc1034,fallback,leetcode.graphs,0.94,leetcode.islands,0.93,0.08
lc1035,fallback,leetcode.dp-strings,0.96,leetcode.dp-grid,0.91,0.33
lc1036,fallback,leetcode.graphs,0.9,leetcode.islands,0.89,0.07
lc1037,fallback,leetcode.math,0.19,,0.89,0.14
lc1038,fallback,leetcode.recursion,0.83,leetcode.tree-dfs;leetcode.binary-trees;leetcode.bst,0.82,0.13
lc1039,fallback,leetcode.dp-intervals,0.97,,0.91,0.18
lc1040,fallback,leetcode.sliding-window,0.81,leetcode.two-pointers,0.89,0.05
lc1041,fallback,leetcode.arrays-strings,0.52,,0.93,0.06
lc1042,fallback,leetcode.greedy,0.69,,0.93,0.05
lc1043,core,leetcode.dp-1d,0.95,,0.94,0.04
lc1044,fallback,leetcode.binary-search,0.93,,0.92,0.03
lc1046,core,leetcode.top-k-elements,0.78,,0.95,0.03
lc1047,fallback,leetcode.stack,0.95,,0.96,0.03
lc1048,core,leetcode.dp-1d,0.68,leetcode.dp-lis,0.94,0.03
lc1049,core,leetcode.knapsack-dp,0.97,,0.93,0.03
lc1051,fallback,leetcode.arrays-strings,0.22,,0.95,0.04
lc1052,fallback,leetcode.sliding-window,0.95,,0.93,0.03
lc1053,fallback,leetcode.greedy,0.73,,0.84,0.03
lc1054,fallback,leetcode.greedy,0.79,,0.92,0.04
lc1055,fallback,leetcode.greedy,0.75,leetcode.arrays-strings;leetcode.two-pointers,0.94,0.03
lc1056,fallback,leetcode.math,0.74,,0.94,0.06
lc1057,fallback,leetcode.greedy,0.91,,0.95,0.08
lc1058,fallback,leetcode.greedy,0.94,,0.88,0.03
lc1059,fallback,leetcode.graphs,0.87,leetcode.recursion,0.86,0.09
lc1060,fallback,leetcode.binary-search,0.95,,0.9,0.03
lc1061,fallback,leetcode.union-find,0.98,,0.94,0.03
lc1062,fallback,leetcode.dp-grid,0.69,,0.91,0.03
lc1063,fallback,leetcode.monotonic-stack,0.96,leetcode.stack,0.94,0.03
lc1064,fallback,leetcode.binary-search,0.95,,0.93,0.03
lc1065,fallback,leetcode.arrays-strings,0.8,,0.94,0.03
lc1066,fallback,leetcode.bit-manipulation,0.54,,0.92,0.08
lc1067,fallback,leetcode.recursion,0.58,,0.92,0.03
lc1071,core,leetcode.arrays-strings,0.51,,0.95,0.03
lc1072,fallback,leetcode.hash-maps,0.94,,0.92,0.05
lc1073,fallback,leetcode.arrays-strings,0.73,leetcode.math,0.8,0.04
lc1074,fallback,leetcode.prefix-sums,0.95,leetcode.hash-maps,0.91,0.06
lc1078,fallback,leetcode.arrays-strings,0.94,,0.94,0.03
lc1079,fallback,leetcode.backtracking,0.96,leetcode.subsets;leetcode.recursion,0.91,0.03
lc1080,fallback,leetcode.tree-dfs,0.97,leetcode.recursion,0.83,0.1
lc1081,fallback,leetcode.monotonic-stack,0.79,leetcode.stack;leetcode.greedy,0.9,0.03
